Time(ms),Hall(mV),B(mT)
0,551.7578,-0.34
2,546.8750,-0.39
4,551.7578,-0.34
12,546.8750,-0.39
31,541.9922,-0.44
52,541.9922,-0.44
71,537.1094,-0.49
90,541.9922,-0.44
108,541.9922,-0.44
128,546.8750,-0.39
147,546.8750,-0.39
167,537.1094,-0.49
189,541.9922,-0.44
209,546.8750,-0.39
230,551.7578,-0.34
249,566.4063,-0.20
269,600.5859,0.15
288,634.7656,0.49
309,688.4766,1.02
328,786.1328,2.00
348,932.6172,3.47
368,1162.1093,5.76
389,1523.4375,9.37
409,2065.4296,14.79
431,2807.6171,22.22
453,3564.4531,29.78
475,3999.0234,34.13
496,3842.7734,32.57
519,3173.8281,25.88
540,2348.6328,17.63
562,1655.2734,10.69
584,1191.4062,6.05
605,922.8516,3.37
624,761.7188,1.76
645,668.9453,0.83
664,610.3516,0.24
684,581.0547,-0.05
705,556.6406,-0.29
726,541.9922,-0.44
745,537.1094,-0.49
764,537.1094,-0.49
784,537.1094,-0.49
803,532.2266,-0.54
824,541.9922,-0.44
845,541.9922,-0.44
866,541.9922,-0.44
886,541.9922,-0.44
906,541.9922,-0.44
925,537.1094,-0.49
945,541.9922,-0.44
965,541.9922,-0.44
986,541.9922,-0.44
1007,532.2266,-0.54
1029,537.1094,-0.49
1049,537.1094,-0.49
1070,532.2266,-0.54
1090,532.2266,-0.54
1112,541.9922,-0.44
1133,561.5234,-0.24
1156,610.3516,0.24
1176,673.8281,0.88
1197,776.3672,1.90
1217,957.0313,3.71
1239,1254.8828,6.69
1260,1748.0468,11.62
1283,2490.2343,19.04
1306,3325.1953,27.39
1329,3896.4843,33.10
1352,3881.8359,32.96
1375,3315.4296,27.29
1397,2524.4140,19.38
1421,1796.8750,12.11
1443,1293.9453,7.08
1465,981.4453,3.95
1486,810.5469,2.25
1507,708.0078,1.22
1527,639.6484,0.54
1548,610.3516,0.24
1569,585.9375,-0.00
1591,566.4063,-0.20
1611,551.7578,-0.34
1633,546.8750,-0.39
1655,541.9922,-0.44
1677,541.9922,-0.44
1697,541.9922,-0.44
1718,541.9922,-0.44
1738,541.9922,-0.44
1760,537.1094,-0.49
1781,546.8750,-0.39
1804,541.9922,-0.44
1825,546.8750,-0.39
1846,546.8750,-0.39
1866,556.6406,-0.29
1887,576.1719,-0.10
1908,605.4688,0.19
1930,644.5313,0.59
1950,712.8906,1.27
1971,820.3125,2.34
1992,981.4453,3.95
2013,1250.0000,6.64
2034,1674.8046,10.89
2058,2353.5156,17.68
2080,3188.4765,26.02
2103,3867.1875,32.81
2126,3974.6093,33.89
2149,3417.9687,28.32
2171,2568.3593,19.82
2195,1801.7578,12.16
2217,1279.2968,6.93
2239,966.7969,3.81
2260,791.0156,2.05
2281,683.5938,0.98
2301,610.3516,0.24
2323,581.0547,-0.05
2344,551.7578,-0.34
2365,541.9922,-0.44
2386,537.1094,-0.49
2408,537.1094,-0.49
2430,537.1094,-0.49
2452,532.2266,-0.54
2472,541.9922,-0.44
2493,541.9922,-0.44
2513,541.9922,-0.44
2535,546.8750,-0.39
2556,541.9922,-0.44
2579,546.8750,-0.39
2600,537.1094,-0.49
2621,541.9922,-0.44
2641,541.9922,-0.44
2662,537.1094,-0.49
2682,541.9922,-0.44
2704,532.2266,-0.54
2726,532.2266,-0.54
2748,541.9922,-0.44
2769,551.7578,-0.34
