Time(ms),Hall(mV),B(mT)
0,537.1094,-0.49
2,537.1094,-0.49
4,537.1094,-0.49
12,537.1094,-0.49
31,537.1094,-0.49
52,541.9922,-0.44
71,537.1094,-0.49
90,537.1094,-0.49
108,532.2266,-0.54
128,532.2266,-0.54
147,532.2266,-0.54
167,532.2266,-0.54
189,532.2266,-0.54
209,527.3438,-0.59
230,537.1094,-0.49
249,541.9922,-0.44
269,571.2891,-0.15
288,605.4688,0.19
308,649.4141,0.63
328,712.8906,1.27
348,815.4297,2.29
367,966.7969,3.81
388,1176.7578,5.91
408,1489.2578,9.03
429,1904.2968,13.18
451,2436.5234,18.51
473,3007.8125,24.22
494,3525.3906,29.39
517,3881.8359,32.96
538,3955.0781,33.69
560,3725.5859,31.40
582,3247.0703,26.61
604,2666.0156,20.80
625,2099.6093,15.14
648,1635.7421,10.50
669,1298.8281,7.13
690,1074.2187,4.88
710,917.9688,3.32
731,810.5469,2.25
750,742.1875,1.56
770,688.4766,1.02
790,654.2969,0.68
809,625.0000,0.39
829,600.5859,0.15
849,585.9375,-0.00
870,576.1719,-0.10
890,581.0547,-0.05
912,571.2891,-0.15
932,561.5234,-0.24
953,561.5234,-0.24
972,561.5234,-0.24
992,556.6406,-0.29
1011,561.5234,-0.24
1033,551.7578,-0.34
1054,551.7578,-0.34
1077,551.7578,-0.34
1098,551.7578,-0.34
1119,556.6406,-0.29
1139,551.7578,-0.34
1160,551.7578,-0.34
1181,551.7578,-0.34
1204,556.6406,-0.29
1225,551.7578,-0.34
1247,546.8750,-0.39
1267,561.5234,-0.24
1288,561.5234,-0.24
1308,571.2891,-0.15
1330,600.5859,0.15
1351,620.1172,0.34
1372,634.7656,0.49
1392,668.9453,0.83
1414,712.8906,1.27
1434,771.4844,1.85
1455,854.4922,2.68
1476,966.7969,3.81
1497,1142.5781,5.57
1518,1386.7187,8.01
1541,1728.5156,11.43
1563,2211.9140,16.26
1586,2783.2031,21.97
1609,3378.9062,27.93
1632,3833.0078,32.47
1654,3969.7265,33.84
1678,3681.6406,30.96
1700,3115.2343,25.29
1723,2451.1718,18.65
1746,1875.0000,12.89
1769,1450.1953,8.64
1790,1157.2265,5.71
1813,957.0313,3.71
1833,825.1953,2.39
1854,722.6563,1.37
1875,659.1797,0.73
1896,615.2344,0.29
1916,581.0547,-0.05
1939,556.6406,-0.29
1960,541.9922,-0.44
1981,532.2266,-0.54
2001,532.2266,-0.54
2022,527.3438,-0.59
2043,522.4609,-0.64
2065,532.2266,-0.54
2087,532.2266,-0.54
2109,532.2266,-0.54
2129,537.1094,-0.49
2150,537.1094,-0.49
2170,537.1094,-0.49
2192,532.2266,-0.54
2213,541.9922,-0.44
2236,537.1094,-0.49
2257,541.9922,-0.44
2278,541.9922,-0.44
2298,537.1094,-0.49
2319,537.1094,-0.49
2340,537.1094,-0.49
2362,532.2266,-0.54
2384,532.2266,-0.54
2406,532.2266,-0.54
2426,532.2266,-0.54
2447,532.2266,-0.54
2467,532.2266,-0.54
2489,541.9922,-0.44
2510,546.8750,-0.39
2533,576.1719,-0.10
2554,605.4688,0.19
