Time(ms),Hall(mV),B(mT)
0,546.8750,-0.39
2,546.8750,-0.39
4,556.6406,-0.29
12,571.2891,-0.15
32,620.1172,0.34
51,673.8281,0.88
69,761.7188,1.76
88,888.6719,3.03
107,1098.6328,5.13
128,1455.0781,8.69
148,1987.3046,14.01
171,2719.7265,21.34
192,3491.2109,29.05
214,3984.3750,33.98
236,3969.7265,33.84
258,3471.6796,28.86
279,2719.7265,21.34
302,2001.9531,14.16
323,1440.4296,8.54
344,1079.1015,4.93
365,849.6094,2.64
385,722.6563,1.37
404,639.6484,0.54
423,590.8203,0.05
444,571.2891,-0.15
463,541.9922,-0.44
483,537.1094,-0.49
502,532.2266,-0.54
522,537.1094,-0.49
542,537.1094,-0.49
564,537.1094,-0.49
584,541.9922,-0.44
605,541.9922,-0.44
624,541.9922,-0.44
644,546.8750,-0.39
663,537.1094,-0.49
684,541.9922,-0.44
704,546.8750,-0.39
726,537.1094,-0.49
746,537.1094,-0.49
766,537.1094,-0.49
786,537.1094,-0.49
805,532.2266,-0.54
825,532.2266,-0.54
845,537.1094,-0.49
866,537.1094,-0.49
887,551.7578,-0.34
908,576.1719,-0.10
928,610.3516,0.24
948,659.1797,0.73
968,732.4219,1.46
988,854.4922,2.68
1007,1035.1562,4.49
1029,1376.9531,7.91
1051,1909.1796,13.23
1074,2695.3125,21.09
1097,3515.6250,29.30
1120,4023.4375,34.37
1142,3881.8359,32.96
1166,3217.7734,26.32
1188,2392.5781,18.07
1211,1699.2187,11.13
1234,1230.4687,6.44
1256,947.2656,3.61
1276,786.1328,2.00
1298,688.4766,1.02
1318,629.8828,0.44
1339,595.7031,0.10
1359,571.2891,-0.15
1382,551.7578,-0.34
1403,541.9922,-0.44
1424,541.9922,-0.44
1444,541.9922,-0.44
1465,546.8750,-0.39
1486,541.9922,-0.44
1508,546.8750,-0.39
1530,546.8750,-0.39
1552,546.8750,-0.39
1572,546.8750,-0.39
1593,546.8750,-0.39
1613,546.8750,-0.39
1635,546.8750,-0.39
1656,546.8750,-0.39
1679,541.9922,-0.44
1700,546.8750,-0.39
1721,546.8750,-0.39
1741,546.8750,-0.39
1762,546.8750,-0.39
1783,541.9922,-0.44
1805,556.6406,-0.29
1827,566.4063,-0.20
1849,625.0000,0.39
1869,688.4766,1.02
1890,800.7813,2.15
1911,996.0938,4.10
1932,1303.7109,7.18
1953,1811.5234,12.26
1977,2519.5312,19.34
1999,3310.5468,27.25
2022,3906.2500,33.20
2045,4018.5546,34.33
2068,3564.4531,29.78
2091,2778.3203,21.92
2114,1992.1875,14.06
2137,1411.1328,8.25
2158,1040.0390,4.54
2181,820.3125,2.34
2201,708.0078,1.22
2222,629.8828,0.44
2243,590.8203,0.05
2264,561.5234,-0.24
2284,541.9922,-0.44
2306,532.2266,-0.54
2327,537.1094,-0.49
2350,537.1094,-0.49
2371,537.1094,-0.49
2392,541.9922,-0.44
2412,537.1094,-0.49
2433,537.1094,-0.49
2454,537.1094,-0.49
2476,541.9922,-0.44
2498,541.9922,-0.44
2520,537.1094,-0.49
2540,537.1094,-0.49
2561,546.8750,-0.39
2581,532.2266,-0.54
2603,537.1094,-0.49
2624,537.1094,-0.49
2647,532.2266,-0.54
2668,532.2266,-0.54
2689,541.9922,-0.44
2709,551.7578,-0.34
2729,576.1719,-0.10
2751,610.3516,0.24
2772,664.0625,0.78
2793,756.8359,1.71
2813,893.5547,3.08
2835,1137.6953,5.52
2856,1518.5546,9.33
2878,2084.9609,14.99
2902,2861.3281,22.75
2924,3637.6953,30.52
2947,4052.7343,34.67
2970,3774.4140,31.88
2993,3007.8125,24.22
3015,2182.6171,15.97
3039,1542.9687,9.57
3060,1147.4609,5.61
3082,913.0859,3.27
3103,771.4844,1.85
3124,683.5938,0.98
3144,625.0000,0.39
3166,590.8203,0.05
3186,561.5234,-0.24
3207,551.7578,-0.34
3228,546.8750,-0.39
3250,532.2266,-0.54
3272,537.1094,-0.49
3294,546.8750,-0.39
3314,541.9922,-0.44
3335,541.9922,-0.44
3355,541.9922,-0.44
3377,546.8750,-0.39
3398,546.8750,-0.39
3421,546.8750,-0.39
3442,551.7578,-0.34
3463,541.9922,-0.44
3483,546.8750,-0.39
3504,546.8750,-0.39
3524,541.9922,-0.44
3546,541.9922,-0.44
3568,541.9922,-0.44
3590,541.9922,-0.44
3611,546.8750,-0.39
3632,556.6406,-0.29
3652,581.0547,-0.05
3674,615.2344,0.29
3695,673.8281,0.88
3716,781.2500,1.95
3736,952.1484,3.66
3758,1230.4687,6.44
3779,1665.0390,10.79
3802,2324.2187,17.38
3825,3115.2343,25.29
3848,3803.7109,32.18
3870,4042.9687,34.57
3894,3676.7578,30.91
3916,2919.9218,23.34
3939,2124.0234,15.38
3962,1513.6718,9.28
3984,1123.0468,5.37
4005,878.9063,2.93
4027,737.3047,1.51
4047,644.5313,0.59
4068,595.7031,0.10
4089,561.5234,-0.24
4110,546.8750,-0.39
4130,537.1094,-0.49
4151,532.2266,-0.54
4172,537.1094,-0.49
4194,537.1094,-0.49
4216,537.1094,-0.49
4238,541.9922,-0.44
4258,541.9922,-0.44
4279,537.1094,-0.49
4299,537.1094,-0.49
4321,537.1094,-0.49
4342,541.9922,-0.44
4365,541.9922,-0.44
4386,537.1094,-0.49
4407,532.2266,-0.54
4427,541.9922,-0.44
4448,532.2266,-0.54
4469,532.2266,-0.54
4491,537.1094,-0.49
4513,541.9922,-0.44
4535,546.8750,-0.39
4555,571.2891,-0.15
4576,625.0000,0.39
4596,688.4766,1.02
4618,786.1328,2.00
4638,942.3828,3.56
4659,1186.5234,6.01
4681,1591.7968,10.06
4704,2226.5625,16.41
4726,3051.7578,24.66
4750,3808.5937,32.23
4772,4033.2031,34.47
4795,3613.2812,30.27
4818,2797.8515,22.12
4841,2036.1328,14.50
4864,1459.9609,8.74
4886,1103.5156,5.18
4908,883.7891,2.98
4928,742.1875,1.56
4950,659.1797,0.73
4970,610.3516,0.24
4990,581.0547,-0.05
5013,561.5234,-0.24
5035,546.8750,-0.39
5055,541.9922,-0.44
5075,532.2266,-0.54
5096,541.9922,-0.44
5117,537.1094,-0.49
5139,546.8750,-0.39
5161,546.8750,-0.39
5183,546.8750,-0.39
5204,541.9922,-0.44
5225,541.9922,-0.44
5245,546.8750,-0.39
5266,546.8750,-0.39
5287,551.7578,-0.34
5310,541.9922,-0.44
5331,541.9922,-0.44
5352,541.9922,-0.44
5372,541.9922,-0.44
5393,537.1094,-0.49
5414,541.9922,-0.44
5436,546.8750,-0.39
5458,556.6406,-0.29
5480,590.8203,0.05
5500,625.0000,0.39
5521,703.1250,1.17
5542,810.5469,2.25
5563,1005.8594,4.20
5584,1323.2421,7.37
5607,1826.1718,12.40
5629,2573.2421,19.87
5652,3369.1406,27.83
5676,3950.1953,33.64
5698,3994.1406,34.08
5721,3491.2109,29.05
5744,2714.8437,21.29
5767,1967.7734,13.82
5789,1401.3671,8.15
5812,1044.9218,4.59
5833,820.3125,2.34
5854,698.2422,1.12
5875,625.0000,0.39
5896,581.0547,-0.05
5917,556.6406,-0.29
5939,546.8750,-0.39
5961,532.2266,-0.54
5983,532.2266,-0.54
6003,532.2266,-0.54
6024,537.1094,-0.49
6044,537.1094,-0.49
6066,537.1094,-0.49
6087,537.1094,-0.49
6110,541.9922,-0.44
6131,541.9922,-0.44
6153,541.9922,-0.44
6173,541.9922,-0.44
6194,541.9922,-0.44
6215,537.1094,-0.49
6237,532.2266,-0.54
6259,537.1094,-0.49
6281,532.2266,-0.54
6301,537.1094,-0.49
6322,532.2266,-0.54
6342,541.9922,-0.44
6364,551.7578,-0.34
6385,585.9375,-0.00
6408,620.1172,0.34
6428,678.7109,0.93
6449,776.3672,1.90
6470,922.8516,3.37
6491,1162.1093,5.76
6512,1567.3828,9.81
6535,2182.6171,15.97
6557,2988.2812,24.02
6580,3750.0000,31.64
6603,4052.7343,34.67
6626,3710.9375,31.25
6648,2949.2187,23.63
6672,2138.6718,15.53
6694,1518.5546,9.33
6716,1127.9296,5.42
6738,888.6719,3.03
6759,756.8359,1.71
6779,668.9453,0.83
6801,620.1172,0.34
6821,581.0547,-0.05
6843,561.5234,-0.24
6864,546.8750,-0.39
6887,541.9922,-0.44
6908,541.9922,-0.44
6929,541.9922,-0.44
6949,546.8750,-0.39
6970,537.1094,-0.49
6991,546.8750,-0.39
7013,546.8750,-0.39
7035,546.8750,-0.39
7057,541.9922,-0.44
7078,546.8750,-0.39
7099,546.8750,-0.39
7119,541.9922,-0.44
7140,541.9922,-0.44
7161,541.9922,-0.44
7184,541.9922,-0.44
7205,541.9922,-0.44
7227,546.8750,-0.39
7247,546.8750,-0.39
7268,546.8750,-0.39
7289,556.6406,-0.29
7311,581.0547,-0.05
7333,625.0000,0.39
7354,693.3594,1.07
7374,800.7813,2.15
7396,986.3281,4.00
7416,1298.8281,7.13
7438,1782.2265,11.96
7461,2485.3515,18.99
7484,3271.4843,26.85
7506,3896.4843,33.10
7530,4033.2031,34.47
7553,3593.7500,30.08
7575,2812.5000,22.26
7599,2041.0156,14.55
7621,1445.3125,8.59
7643,1074.2187,4.88
7665,844.7266,2.59
7686,717.7734,1.32
7706,634.7656,0.49
7728,590.8203,0.05
7748,566.4063,-0.20
7769,546.8750,-0.39
7790,541.9922,-0.44
7812,541.9922,-0.44
7834,532.2266,-0.54
7856,532.2266,-0.54
7876,541.9922,-0.44
7897,541.9922,-0.44
7917,537.1094,-0.49
7939,541.9922,-0.44
7960,537.1094,-0.49
7983,537.1094,-0.49
8004,546.8750,-0.39
8026,541.9922,-0.44
8046,537.1094,-0.49
8067,537.1094,-0.49
8087,541.9922,-0.44
8109,532.2266,-0.54
8131,527.3438,-0.59
8153,532.2266,-0.54
8173,537.1094,-0.49
8194,551.7578,-0.34
8214,576.1719,-0.10
8236,605.4688,0.19
8257,664.0625,0.78
8278,756.8359,1.71
8298,903.3203,3.17
8320,1137.6953,5.52
8341,1513.6718,9.28
8363,2065.4296,14.79
8386,2827.1484,22.41
8409,3618.1640,30.32
8431,4042.9687,34.57
8455,3813.4765,32.27
8477,3066.4062,24.80
8500,2231.4453,16.45
8523,1591.7968,10.06
8546,1166.9921,5.81
8567,917.9688,3.32
8589,771.4844,1.85
8609,683.5938,0.98
8630,625.0000,0.39
8651,585.9375,-0.00
8673,566.4063,-0.20
8693,546.8750,-0.39
8715,546.8750,-0.39
8736,532.2266,-0.54
8759,541.9922,-0.44
8780,541.9922,-0.44
8801,546.8750,-0.39
8821,541.9922,-0.44
8842,541.9922,-0.44
8863,541.9922,-0.44
8885,546.8750,-0.39
8907,541.9922,-0.44
8929,546.8750,-0.39
8949,546.8750,-0.39
8970,537.1094,-0.49
8990,541.9922,-0.44
9012,541.9922,-0.44
9033,546.8750,-0.39
9056,541.9922,-0.44
9077,546.8750,-0.39
9098,551.7578,-0.34
9118,561.5234,-0.24
9139,581.0547,-0.05
9160,625.0000,0.39
9182,678.7109,0.93
9202,791.0156,2.05
9223,966.7969,3.81
9244,1250.0000,6.64
9266,1694.3359,11.08
9288,2363.2812,17.77
9312,3159.1796,25.73
9334,3833.0078,32.47
9357,4047.8515,34.62
9380,3647.4609,30.61
9403,2895.5078,23.10
9425,2114.2578,15.28
9449,1518.5546,9.33
9470,1127.9296,5.42
9492,878.9063,2.93
9513,732.4219,1.46
9534,644.5313,0.59
9554,595.7031,0.10
9576,566.4063,-0.20
9596,546.8750,-0.39
